r (m)	u(r) (m/s)	Log Derivative
0.066400	0.0032839	-0.88421
0.066600	0.0032752	-0.88659
0.066800	0.0032665	-0.88898
0.067000	0.0032578	-0.90153
0.067200	0.0032490	-0.91441
0.067400	0.0032401	-0.91695
0.067600	0.0032312	-0.96177
0.067800	0.0032222	-0.93237
0.068000	0.0032132	-0.98874
0.068200	0.0032040	-0.99145
0.068400	0.0031948	-0.99449
0.068600	0.0031856	-1.0191
0.068800	0.0031762	-0.99849
0.069000	0.0031667	-1.0729
0.069200	0.0031572	-1.0502
0.069400	0.0031476	-1.0753
0.069600	0.0031378	-1.0787
0.069800	0.0031280	-1.1320
0.070000	0.0031181	-1.1189
0.070200	0.0031080	-1.1625
0.070400	0.0030979	-1.1484
0.070600	0.0030876	-1.2050
0.070800	0.0030772	-1.2207
0.071000	0.0030667	-1.2364
0.071200	0.0030561	-1.2761
0.071400	0.0030452	-1.2807
0.071600	0.0030343	-1.3089
0.071800	0.0030232	-1.3256
0.072000	0.0030120	-1.3542
0.072200	0.0030006	-1.3835
0.072400	0.0029890	-1.4527
0.072600	0.0029773	-1.4421
0.072800	0.0029653	-1.5145
0.073000	0.0029532	-1.5332
0.073200	0.0029410	-1.5211
0.073400	0.0029285	-1.6099
0.073600	0.0029158	-1.6549
0.073800	0.0029028	-1.6751
0.074000	0.0028897	-1.7088
0.074200	0.0028764	-1.7552
0.074400	0.0028628	-1.8026
0.074600	0.0028489	-1.8377
0.074800	0.0028348	-1.9452
0.075000	0.0028205	-1.9221
0.075200	0.0028059	-1.9719
0.075400	0.0027910	-2.1005
0.075600	0.0027758	-2.1537
0.075800	0.0027603	-2.1259
0.076000	0.0027445	-2.2630
0.076200	0.0027284	-2.3189
0.076400	0.0027120	-2.3899
0.076600	0.0026952	-2.4625
0.076800	0.0026780	-2.4281
0.077000	0.0026605	-2.6851
0.077200	0.0026427	-2.6727
0.077400	0.0026244	-2.7505
0.077600	0.0026057	-2.8147
0.077800	0.0025867	-2.9254
0.078000	0.0025671	-3.1129
0.078200	0.0025472	-3.0927
0.078400	0.0025268	-3.3382
0.078600	0.0025058	-3.2834
0.078800	0.0024845	-3.5413
0.079000	0.0024626	-3.6550
0.079200	0.0024402	-3.7715
0.079400	0.0024173	-3.7574
0.079600	0.0023938	-4.0475
0.079800	0.0023697	-4.1743
0.080000	0.0023451	-4.3387
0.080200	0.0023198	-4.4909
0.080400	0.0022939	-4.8416
0.080600	0.0022674	-4.8274
0.080800	0.0022402	-5.0309
0.081000	0.0022122	-5.2050
0.081200	0.0021836	-5.6483
0.081400	0.0021542	-5.6283
0.081600	0.0021241	-6.1061
0.081800	0.0020932	-6.1039
0.082000	0.0020615	-6.6420
0.082200	0.0020289	-6.9374
0.082400	0.0019954	-6.9353
0.082600	0.0019611	-7.5470
0.082800	0.0019259	-7.9058
0.083000	0.0018897	-8.2845
0.083200	0.0018525	-8.6821
0.083400	0.0018143	-9.1006
0.083600	0.0017751	-9.5929
0.083800	0.0017347	-10.065
0.084000	0.0016933	-11.052
0.084200	0.0016508	-11.204
0.084400	0.0016070	-11.834
0.084600	0.0015620	-13.082
0.084800	0.0015157	-13.267
0.085000	0.0014682	-14.727
0.085200	0.0014193	-15.005
0.085400	0.0013691	-16.769
0.085600	0.0013173	-17.143
0.085800	0.0012642	-19.231
0.086000	0.0012095	-20.689
0.086200	0.0011533	-22.395
0.086400	0.0010954	-24.324
0.086600	0.0010358	-25.396
0.086800	0.00097455	-29.078
0.087000	0.00091151	-33.556
0.087200	0.00084664	-35.694
0.087400	0.00077991	-40.116
0.087600	0.00071117	-45.532
0.087800	0.00064046	-52.470
0.088000	0.00056765	-61.564
0.088200	0.00049271	-77.369
0.088400	0.00041559	-92.209
