r (m)	u(r) (m/s)	Log Derivative
0.065400	0.00082249	-1.5439
0.065600	0.00081843	-1.6619
0.065800	0.00081436	-1.2776
0.066000	0.00081127	-1.7715
0.066200	0.00080716	-1.7330
0.066400	0.00080303	-1.2118
0.066600	0.00079989	-1.6949
0.066800	0.00079573	-1.7630
0.067000	0.00079154	-1.2762
0.067200	0.00078834	-1.7504
0.067400	0.00078412	-1.3565
0.067600	0.00078088	-1.8745
0.067800	0.00077662	-1.4262
0.068000	0.00077334	-1.9249
0.068200	0.00076904	-1.5553
0.068400	0.00076572	-1.9064
0.068600	0.00076138	-1.5134
0.068800	0.00075801	-2.0094
0.069000	0.00075363	-1.5038
0.069200	0.00075022	-2.0631
0.069400	0.00074579	-1.5624
0.069600	0.00074233	-1.6662
0.069800	0.00073885	-2.2276
0.070000	0.00073435	-1.7585
0.070200	0.00073082	-1.8585
0.070400	0.00072727	-2.0658
0.070600	0.00072270	-1.6875
0.070800	0.00071909	-1.7283
0.071000	0.00071547	-2.3467
0.071200	0.00071081	-1.7593
0.071400	0.00070713	-1.7112
0.071600	0.00070343	-2.5896
0.071800	0.00069869	-1.8656
0.072000	0.00069493	-1.9380
0.072200	0.00069114	-2.0175
0.072400	0.00068732	-2.1064
0.072600	0.00068347	-2.7624
0.072800	0.00067859	-2.0554
0.073000	0.00067468	-2.3404
0.073200	0.00067074	-2.0668
0.073400	0.00066676	-2.2172
0.073600	0.00066276	-2.1122
0.073800	0.00065872	-2.4079
0.074000	0.00065465	-3.0959
0.074200	0.00064955	-2.3641
0.074400	0.00064542	-2.5674
0.074600	0.00064125	-2.6340
0.074800	0.00063704	-2.5265
0.075000	0.00063280	-2.4910
0.075200	0.00062852	-2.4814
0.075400	0.00062421	-2.6056
0.075600	0.00061986	-2.5521
0.075800	0.00061547	-2.5514
0.076000	0.00061104	-2.6900
0.076200	0.00060657	-2.8277
0.076400	0.00060207	-2.8164
0.076600	0.00059752	-3.0361
0.076800	0.00059293	-2.9850
0.077000	0.00058830	-3.0654
0.077200	0.00058363	-3.0205
0.077400	0.00057891	-3.1873
0.077600	0.00057415	-3.3905
0.077800	0.00056935	-3.4020
0.078000	0.00056450	-3.2666
0.078200	0.00055960	-3.4339
0.078400	0.00055466	-2.7100
0.078600	0.00055067	-3.5320
0.078800	0.00054564	-3.7124
0.079000	0.00054055	-3.6710
0.079200	0.00053541	-4.0187
0.079400	0.00053023	-4.0915
0.079600	0.00052499	-3.2158
0.079800	0.00052070	-4.0924
0.080000	0.00051535	-4.3218
0.080200	0.00050996	-4.4291
0.080400	0.00050450	-4.4846
0.080600	0.00049900	-3.8183
0.080800	0.00049443	-4.6372
0.081000	0.00048881	-4.5998
0.081200	0.00048313	-4.7258
0.081400	0.00047739	-4.8518
0.081600	0.00047159	-4.3490
0.081800	0.00046673	-5.0526
0.082000	0.00046080	-5.5320
0.082200	0.00045482	-4.6623
0.082400	0.00044977	-5.6078
0.082600	0.00044365	-5.7332
0.082800	0.00043747	-5.1695
0.083000	0.00043222	-5.9391
0.083200	0.00042590	-6.4384
0.083400	0.00041951	-5.2785
0.083600	0.00041405	-6.4889
0.083800	0.00040752	-6.8276
0.084000	0.00040091	-5.9441
0.084200	0.00039523	-7.0643
0.084400	0.00038848	-7.4225
0.084600	0.00038165	-6.7779
0.084800	0.00037574	-8.0161
0.085000	0.00036875	-7.0133
0.085200	0.00036268	-8.5125
0.085400	0.00035553	-8.6203
0.085600	0.00034830	-7.8018
0.085800	0.00034198	-9.5954
0.086000	0.00033458	-8.5960
0.086200	0.00032809	-10.184
0.086400	0.00032051	-9.0536
0.086600	0.00031384	
