Time t (s)	R(t) (m)	Log Derivative
0.30500	0.075015	0.46893
0.30600	0.075130	0.54439
0.30700	0.075264	0.48094
0.30800	0.075382	0.52598
0.30900	0.075510	0.50657
0.31000	0.075634	0.47824
0.31100	0.075751	0.50212
0.31200	0.075873	0.52198
0.31300	0.076000	0.51835
0.31400	0.076125	0.49481
0.31500	0.076245	0.51091
0.31600	0.076369	0.49072
0.31700	0.076487	0.52269
0.31800	0.076613	0.50589
0.31900	0.076735	0.51464
0.32000	0.076859	0.49148
0.32100	0.076977	0.52077
0.32200	0.077102	0.52161
0.32300	0.077226	0.49256
0.32400	0.077344	0.49793
0.32500	0.077463	0.51932
0.32600	0.077587	0.49198
0.32700	0.077704	0.51925
0.32800	0.077827	0.50266
0.32900	0.077946	0.51502
0.33000	0.078068	0.49714
0.33100	0.078186	0.48931
0.33200	0.078301	0.51211
0.33300	0.078422	0.53791
0.33400	0.078548	0.48551
0.33500	0.078662	0.50858
0.33600	0.078782	0.50223
0.33700	0.078899	0.54041
0.33800	0.079026	0.50956
0.33900	0.079145	0.45392
0.34000	0.079251	0.55756
0.34100	0.079381	0.49170
0.34200	0.079495	0.48898
0.34300	0.079609	0.51734
0.34400	0.079729	0.48509
0.34500	0.079841	0.52422
0.34600	0.079962	0.54036
0.34700	0.080087	0.45859
0.34800	0.080193	0.54605
0.34900	0.080318	0.50629
0.35000	0.080435	
