r (m)	u(r) (m/s)	Log Derivative
0.064400	0.0036243	-1.0072
0.064600	0.0036130	-1.0284
0.064800	0.0036015	-1.0569
0.065000	0.0035901	-1.0530
0.065200	0.0035784	-1.0565
0.065400	0.0035667	-1.1139
0.065600	0.0035548	-1.1000
0.065800	0.0035427	-1.1498
0.066000	0.0035305	-1.1633
0.066200	0.0035182	-1.1865
0.066400	0.0035057	-1.2002
0.066600	0.0034931	-1.2333
0.066800	0.0034802	-1.2379
0.067000	0.0034673	-1.2714
0.067200	0.0034541	-1.2957
0.067400	0.0034407	-1.3103
0.067600	0.0034272	-1.4015
0.067800	0.0034133	-1.3602
0.068000	0.0033994	-1.4536
0.068200	0.0033851	-1.4701
0.068400	0.0033707	-1.5070
0.068600	0.0033560	-1.5447
0.068800	0.0033410	-1.5200
0.069000	0.0033258	-1.6683
0.069200	0.0033103	-1.6394
0.069400	0.0032946	-1.6892
0.069600	0.0032785	-1.7293
0.069800	0.0032621	-1.8329
0.070000	0.0032454	-1.8004
0.070200	0.0032285	-1.9300
0.070400	0.0032111	-1.9061
0.070600	0.0031934	-2.0300
0.070800	0.0031753	-2.0756
0.071000	0.0031569	-2.1444
0.071200	0.0031380	-2.1919
0.071400	0.0031188	-2.2631
0.071600	0.0030991	-2.3237
0.071800	0.0030790	-2.3976
0.072000	0.0030584	-2.4607
0.072200	0.0030374	-2.5489
0.072400	0.0030158	-2.7118
0.072600	0.0029938	-2.7062
0.072800	0.0029712	-2.8783
0.073000	0.0029482	-2.9893
0.073200	0.0029245	-2.9676
0.073400	0.0029003	-3.1936
0.073600	0.0028754	-3.2991
0.073800	0.0028499	-3.4075
0.074000	0.0028238	-3.5320
0.074200	0.0027970	-3.6595
0.074400	0.0027695	-3.7770
0.074600	0.0027414	-3.9391
0.074800	0.0027124	-4.2346
0.075000	0.0026827	-4.2349
0.075200	0.0026522	-4.4109
0.075400	0.0026208	-4.7549
0.075600	0.0025886	-4.9346
0.075800	0.0025556	-4.9604
0.076000	0.0025216	-5.3607
0.076200	0.0024867	-5.5930
0.076400	0.0024508	-5.8511
0.076600	0.0024138	-6.0869
0.076800	0.0023759	-6.1457
0.077000	0.0023368	-6.9409
0.077200	0.0022966	-6.9797
0.077400	0.0022553	-7.3344
0.077600	0.0022127	-7.6899
0.077800	0.0021689	-8.0642
0.078000	0.0021239	-8.8352
0.078200	0.0020775	-8.9530
0.078400	0.0020297	-9.8152
0.078600	0.0019805	-9.9745
0.078800	0.0019298	-10.969
0.079000	0.0018776	-11.607
0.079200	0.0018239	-12.338
0.079400	0.0017685	-12.646
0.079600	0.0017113	-13.985
0.079800	0.0016525	-14.946
0.080000	0.0015919	-16.021
0.080200	0.0015294	-17.235
0.080400	0.0014649	-19.328
0.080600	0.0013985	-20.088
0.080800	0.0013300	-21.849
0.081000	0.0012593	-23.819
0.081200	0.0011865	-27.283
0.081400	0.0011113	-28.876
0.081600	0.0010339	-33.544
0.081800	0.00095393	-36.172
0.082000	0.00087145	-42.806
0.082200	0.00078637	-49.320
0.082400	0.00069859	-55.574
0.082600	0.00060797	-69.564
0.082800	0.00051449	-86.494
